Folder,List,Task Name,Subtask Of,Priority,Description,Status
RECR,RECR - Candidate Features,FR-009: Link Resume to Application,,High,"POST /recr/applications - resume_file_id frozen at submission time.",To Do
RECR,RECR - Candidate Features,FR-052: Open to Work Toggle,,Medium,"PATCH /recr/candidate/profile/open-to-work - Boolean flag.",To Do
RECR,RECR - HR Features,FR-008: Review Applications,,High,"GET /recr/hr/applications - Filter by job/status. View candidate details.",To Do
RECR,RECR - HR Features,FR-009: Screen Candidates,,High,"PATCH /recr/hr/applications/:id/status - Advance through stages.",To Do
RECR,RECR - HR Features,FR-010: Schedule Interview,,High,"POST /recr/hr/interviews - Date, time, location, meeting link. Conflict detection.",To Do
RECR,RECR - HR Features,FR-011: Evaluate Candidate,,High,"POST /recr/hr/evaluations - Scores + recommendation (hire/reject/hold).",To Do
RECR,RECR - HR Features,FR-012: Reject Candidate,,High,"PATCH /recr/hr/applications/:id/status - Optional reason. Status: rejected.",To Do
RECR,RECR - HR Features,FR-013: Track Recruitment Pipeline,,High,"GET /recr/hr/pipeline - View all candidates across stages.",To Do
RECR,RECR - HR Features,FR-014: Create Reports,,Medium,"GET /recr/hr/reports - Recruitment metrics, conversion rates.",To Do
RECR,RECR - HR Features,FR-028: HR Post Job,,High,"POST /recr/hr/jobs - Create job posting with requirements.",To Do
RECR,RECR - HR Features,FR-029: HR Manage Jobs,,High,"GET/PATCH /recr/hr/jobs - Edit, close, archive jobs.",To Do
RECR,RECR - Employer Features,FR-016: Post Job,,High,"POST /recr/employer/jobs - With requirements, salary range, description.",To Do
RECR,RECR - Employer Features,FR-017: Manage Jobs,,High,"GET/PATCH /recr/employer/jobs - Edit, close, archive.",To Do
RECR,RECR - Employer Features,FR-018: View Applicants,,High,"GET /recr/employer/jobs/:id/applicants - List candidates who applied.",To Do
RECR,RECR - Employer Features,FR-019: Submit for HR Approval,,Medium,"PATCH /recr/employer/jobs/:id/submit - Status: draft → pending_approval.",To Do
RECR,RECR - Employer Features,FR-020: View Analytics,,Medium,"GET /recr/employer/analytics - Recruitment metrics for posted jobs.",To Do
RECR,RECR - Subscription,FR-021: Subscription Plans,,High,"GET /recr/subscriptions/plans - 3 tiers: 1mo, 6mo, 1yr.",To Do
RECR,RECR - Subscription,FR-022: Purchase Subscription,,Medium,"POST /recr/subscriptions/purchase - All roles can purchase.",To Do
RECR,RECR - Subscription,FR-023: Subscription Access Control,,High,"SubscriptionGuard - Check active subscription before premium features.",To Do
RECR,RECR - Subscription,FR-024: Subscription Validation,,High,"GET /recr/subscriptions/current - Validate before premium actions.",To Do
RECR,RECR - Subscription,FR-025: Renew/Upgrade,,Medium,"PATCH /recr/subscriptions/renew - Extend or upgrade plan.",To Do
RECR,RECR - Subscription,FR-026: Subscription History,,Low,"GET /recr/subscriptions/history - Payments, invoices.",To Do
RECR,RECR - Reviews,FR-030: Job Review,,Medium,"POST /recr/candidate/reviews/jobs - 1-5 stars + comment.",To Do
RECR,RECR - Reviews,FR-031: Candidate Review,,Medium,"POST /recr/hr/reviews/candidates - Interviewer rates candidate.",To Do
RECR,RECR - Invitations,FR-039: Send Invitation,,High,"POST /recr/invitations/send - Email with role assignment.",To Do
RECR,RECR - Invitations,FR-040: Create Invitation Token,,High,"SHA-256 hashed token. Stored in recr_invitations.",To Do
RECR,RECR - Invitations,FR-041: Send Invitation Email,,High,"Via RabbitMQ to EMAIL module.",To Do
RECR,RECR - Invitations,FR-042: Verify Invitation Token,,High,"GET /recr/invitations/verify - Check token validity.",To Do
RECR,RECR - Invitations,FR-043: Accept Invitation,,High,"POST /recr/invitations/accept - Activate account.",To Do
RECR,RECR - Invitations,FR-044: Revoke Invitation,,Medium,"DELETE /recr/invitations/:id - Cancel pending.",To Do
RECR,RECR - Invitations,FR-045: List Invitations,,Medium,"GET /recr/invitations - Filter/paginate.",To Do
RECR,RECR - Invitations,FR-046: Resend Invitation,,Medium,"POST /recr/invitations/:id/resend - Expired/revoked.",To Do
RECR,RECR - AI & Matching,FR-010: AI Extract Skills from CV,,Medium,"LLM + OCR to extract skills from uploaded CVs. Store in recr_resume_skills with confidence score.",To Do
RECR,RECR - AI & Matching,FR-049: AI Extract Skills from JD,,Medium,"Extract required/nice_to_have skills from job description. Store in recr_job_skills.",To Do
RECR,RECR - AI & Matching,FR-050: Calculate Matching Score,,High,"0-100% weighted formula. CV skills vs JD skills. Store in recr_match_scores.",To Do
RECR,RECR - AI & Matching,FR-051: Standard Skills Taxonomy,,High,"recr_skills_taxonomy master data. Standardized skill dictionary.",To Do
RECR,RECR - AI & Matching,FR-053: Auto-Suggest Candidates,,High,"GET /recr/hr/jobs/:id/suggestions - Score >= 70%. Store in recr_job_suggestions.",To Do
RECR,RECR - Analytics,FR-054: Candidate Interaction Analytics,,High,"CV uploads, application counts, time-to-hire. OpenSearch indices.",To Do
RECR,RECR - Analytics,FR-055: Application Success Rate,,High,"Conversion rates across stages. OpenSearch aggregation.",To Do
RECR,RECR - Analytics,FR-056: Export Reports,,Medium,"Excel/CSV, max 10k rows. GET /recr/analytics/export.",To Do
RECR,RECR - Database,Create recr_users table,,High,"UUID PK, email, password_hash, role (candidate/employer/hr/admin), status, auth_user_id FK, timestamps.",To Do
RECR,RECR - Database,Create recr_candidates table,,High,"UUID PK, user_id FK, full_name, phone, skills, experience_years, salary_expectation, open_to_work, timestamps.",To Do
RECR,RECR - Database,Create recr_candidate_resumes table,,High,"UUID PK, candidate_id FK, file_id FK (→ sys_files), is_primary, created_at.",To Do
RECR,RECR - Database,Create recr_employers table,,High,"UUID PK, user_id FK, company_name, industry, size, website, logo_url, description, timestamps.",To Do
RECR,RECR - Database,Create recr_hr_profiles table,,Medium,"UUID PK, user_id FK, employer_id FK, department, position, timestamps.",To Do
RECR,RECR - Database,Create recr_jobs table,,High,"UUID PK, employer_id FK, title, description, location, salary_min, salary_max, type, status (draft/pending/open/closed/archived), timestamps.",To Do
RECR,RECR - Database,Create recr_job_requirements table,,High,"UUID PK, job_id FK, skill, experience, education, certification, is_required.",To Do
RECR,RECR - Database,Create recr_applications table,,High,"UUID PK, job_id FK, candidate_id FK, resume_file_id FK (→ sys_files), status (submitted/screening/interview/offer/rejected/hired), timestamps.",To Do
RECR,RECR - Database,Create recr_interviews table,,Medium,"UUID PK, application_id FK, interviewer_id, date, time, location, meeting_link, status, timestamps.",To Do
RECR,RECR - Database,Create recr_evaluations table,,Medium,"UUID PK, interview_id FK, interviewer_id, scores (JSONB), recommendation, notes, timestamps.",To Do
RECR,RECR - Database,Create recr_subscription_plans table,,Medium,"UUID PK, name, duration_months, price, features (JSONB), is_active.",To Do
RECR,RECR - Database,Create recr_subscriptions table,,Medium,"UUID PK, user_id FK, plan_id FK, status (active/expired/cancelled/pending), start_date, end_date, timestamps.",To Do
RECR,RECR - Database,Create recr_subscription_history table,,Low,"UUID PK, subscription_id FK, action, old_status, new_status, timestamps.",To Do
RECR,RECR - Database,Create recr_invitations table,,High,"UUID PK, email, token (SHA-256), role, invited_by FK, status (pending/accepted/expired/revoked), expires_at, timestamps.",To Do
RECR,RECR - Database,Create recr_webhook_configs table,,Medium,"UUID PK, user_id FK (UNIQUE), webhook_url, is_active, subscribed_events (JSONB), secret_key, status, timestamps.",To Do
RECR,RECR - Database,Create AI/Matching tables,,Medium,"recr_resume_skills, recr_job_skills, recr_skills_taxonomy, recr_match_scores, recr_job_suggestions.",To Do
RECR,RECR - Database,Create review tables,,Medium,"recr_job_reviews (1-5 stars), recr_candidate_reviews (interviewer ratings).",To Do
RECR,RECR - Components,NestJS Modules (6),,High,"Job Module, Application Module, Interview Module, Subscription Module, Review Module, Analytics Module.",To Do
RECR,RECR - Components,Services (8),,High,"JobService, ApplicationService, InterviewService, EvaluationService, ProfileService, SubscriptionService, ReviewService, InviteService.",To Do
RECR,RECR - Components,Controllers (9),,High,"AuthController, JobController, ApplicationController, InterviewController, EvaluationController, ProfileController, SubscriptionController, ReviewController, InviteController.",To Do
RECR,RECR - Components,Workers/Consumers (8),,Medium,"JobConsumer, ApplicationConsumer, InterviewConsumer, SubscriptionConsumer, ReviewConsumer, NotificationConsumer, FileConsumer, InviteConsumer.",To Do
RECR,RECR - Integration,AUTH Module,,High,"Required. User auth, JWT, role management, user registration.",To Do
RECR,RECR - Integration,FILE Module,,High,"Required. Resume upload (presigned URLs), file metadata, deletion cleanup.",To Do
RECR,RECR - Integration,EMAIL Module,,High,"Required. Invitation emails, application notifications, interview notifications via RabbitMQ.",To Do
RECR,RECR - Integration,LOG Module,,Low,"Optional. Audit trail for all recruitment events.",To Do
RECR,RECR - Integration,WALLET Module,,Low,"Optional. Payment for job posting, featured jobs, premium subscriptions.",To Do
RECR,RECR - Integration,RabbitMQ Events,,High,"Outbound: user.registered, application.submitted, interview.scheduled, offer.sent, invitation.created. Inbound: file.deleted.",To Do
RECR,RECR - Integration,OpenSearch,,Medium,"4 indices: user-events, job-events, application-events, subscription-events. Dashboards for analytics.",To Do
RECR,RECR - Integration,AI/LLM Service,,Medium,"Skill extraction from CVs and JDs. LLM + OCR integration.",To Do
